Name,Framework,Experiment,Parameters,Min,Max,Mean,Std,Median
bench_tensorflow.py,tensorflow,1x320GRU,434265,0.575865984,0.7542099953,0.587951817,0.0065613604,0.5877578259
bench_pytorch.py,pytorch,1x320GRU,435225,0.1155850887,0.4198451042,0.1196355741,0.0095485792,0.1194859743
bench_lasagne.py,lasagne,1x320GRU,434585,0.3203308582,0.9769730568,0.3226445208,0.0207103155,0.3219563961
bench_tensorflow.py,tensorflow,4x320LSTM,8533145,5.0357220173,5.3486170769,5.072573518,0.0143624033,5.0719389915
bench_pytorch.py,pytorch,4x320LSTM,8543385,1.018848896,1.3905220032,1.0520880325,0.0158003768,1.0517498255
bench_lasagne.py,lasagne,4x320LSTM,8545945,3.3668730259,4.0188288689,3.3826827457,0.0216948771,3.3796304464
bench_tensorflow.py,tensorflow,4x320LSTM_CTC,8554298,5.1796960831,5.5365622044,5.2251585932,0.0191050677,5.2238843441
bench_pytorch.py,pytorch,4x320LSTM_CTC,8564538,1.3133763238,1.7005036729,1.3530959568,0.0193939744,1.3531682573
bench_lasagne.py,lasagne,4x320LSTM_CTC,8567098,4.5523600578,5.3550930023,4.6144794409,0.0466312255,4.5989735126
bench_tensorflow_LSTMCell.py,tensorflow,1x320LSTM,576345,0.5532619953,0.7366359234,0.5920691175,0.0205298445,0.5884754658
bench_tensorflow_LSTMBlockCell.py,tensorflow_LSTMBlockCell,1x320LSTM,576345,0.5119378567,0.704513073,0.5268066449,0.0118683264,0.5244095325
bench_pytorch_cudnn.py,pytorch_cudnn_LSTM,1x320LSTM,577625,0.1731910491,0.5032576593,0.1826293996,0.0145583698,0.1824420905
bench_pytorch_cell.py,pytorch_LSTMCell,1x320LSTM,577625,0.429923031,0.6328988802,0.4427887779,0.0136484334,0.4393239585
bench_pytorch_custom_cell.py,pytorch_custom_LSTMcell,1x320LSTM,576345,1.1078013852,1.3866062318,1.1665534178,0.031543217,1.1607388337
bench_lasagne.py,lasagne,1x320LSTM,577945,0.3988449574,1.084856987,0.4031884999,0.0305340727,0.4018434286
bench_keras_theano.py,keras_LSTM_theano,1x320LSTM,576345,0.7153298855,36.5931808949,0.7956149354,1.6025206321,0.7246240377
bench_keras_tensorflow.py,keras_LSTM_tensorflow,1x320LSTM,576345,0.785656929,1.6270759106,0.8454501534,0.0510307428,0.8296425343
